title,maingenre,popularity,budgetM,revenueM,profitM,release_date,runtime,vote_average,vote_count,Collection
Flash Gordon,Science Fiction,6.346979,35,27,-8,9/1/1980,111,6.1,237,
The Young Victoria,Drama,8.437587,35,27,-8,3/4/2009,105,7.1,330,
Ella Enchanted,Family,11.316988,31,27,-4,4/9/2004,96,5.9,454,
The Invisible,Crime,6.097503,30,27,-3,4/27/2007,102,6,148,
The Incredible Burt Wonderstone,Comedy,9.385769,30,27,-3,3/14/2013,100,5.3,732,
American Ultra,Comedy,9.534828,28,27,-1,8/19/2015,96,6,1099,
Dark City,Mystery,12.851984,27,27,0,2/27/1998,100,7.2,838,
The Eagle,Adventure,6.196929,25,27,2,2/8/2011,114,5.9,426,
CHiPS,Action,12.238061,25,27,2,3/23/2017,100,6.2,277,
An American Werewolf in Paris,Horror,7.145784,22,27,5,12/25/1997,105,5.3,154,
Khumba,Animation,5.219667,20,27,7,7/18/2013,85,5.8,74,
Glory,War,7.521346,18,27,9,12/15/1989,122,7.4,391,
Mongol: The Rise of Genghis Khan,History,6.375447,18,27,9,9/20/2007,120,6.5,165,
A Dangerous Method,Drama,9.865944,15,27,12,9/30/2011,99,6.2,589,
All Dogs Go to Heaven,Drama,7.068389,14,27,13,11/17/1989,89,6.3,244,All Dogs Go to Heaven Collection
The Big Hit,Action,5.975082,13,27,14,4/24/1998,91,6.1,112,
Sorority Row,Horror,5.010852,13,27,14,9/9/2009,101,5.3,179,
Now and Then,Comedy,8.681325,12,27,15,10/20/1995,100,6.6,91,
Irrational Man,Mystery,6.862812,11,27,16,7/17/2015,95,6.3,600,
Flight Crew,Drama,5.42046,10,27,17,4/21/2016,138,6.8,47,
Escape to Victory,Action,9.865257,10,27,17,6/17/1981,116,6.7,163,
Stay Alive,Horror,4.854551,9,27,18,3/24/2006,100,5.3,157,
A Passage to India,Drama,11.842837,8,27,19,12/14/1984,163,6.8,69,
Brown Sugar,Comedy,3.142874,8,27,19,10/5/2002,109,7,31,
The Bye Bye Man,Horror,19.225832,7,27,20,1/12/2017,96,5.1,262,
Damien: Omen II,Action,10.235373,7,27,20,6/9/1978,107,6.1,170,The Omen Collection
The Great Gatsby,Drama,5.702638,7,27,20,3/27/1974,144,6.2,144,
The Protector,Action,9.005167,6,27,21,8/11/2005,108,6.8,171,The Protector Collection
Desperately Seeking Susan,Comedy,8.679349,5,27,22,3/29/1985,104,6,99,
Clerks II,Comedy,8.466725,5,27,22,5/25/2006,97,6.9,407,Clerks Collection
Fast Times at Ridgemont High,Comedy,14.658885,5,27,22,8/13/1982,90,7,330,
The Bridge on the River Kwai,Drama,8.851646,3,27,24,10/2/1957,161,7.7,554,
Garden State,Comedy,11.630809,3,27,24,7/28/2004,102,7.1,631,
A Clockwork Orange,Science Fiction,17.112594,2,27,25,12/18/1971,136,8,3432,
In the Heat of the Night,Crime,9.059617,2,27,25,8/2/1967,109,7.5,207,
Overboard,Comedy,5.549621,2,27,25,12/16/1987,106,6.7,240,
The Woman in Black 2: Angel of Death,Thriller,6.942139,1,27,26,12/30/2014,90,5,389,The Woman in Black Collection
The Alamo,Western,12.240901,145,26,-119,4/7/2004,137,5.8,108,
Sinbad: Legend of the Seven Seas,Family,8.388773,60,26,-34,7/2/2003,86,6.6,386,
The Cotton Club,Music,9.508061,58,26,-32,12/14/1984,127,6.5,71,
Blood Work,Crime,5.852263,50,26,-24,8/4/2002,110,6.1,210,
Your Highness,Comedy,5.67375,50,26,-24,4/8/2011,102,5.2,511,
The Whole Ten Yards,Comedy,7.15606,40,26,-14,4/7/2004,98,5.5,282,The Whole Nine/Ten Yards Collection
Aloha,Drama,8.451297,37,26,-11,5/27/2015,105,5.2,704,
Superhero Movie,Action,7.876483,35,26,-9,3/27/2008,85,4.9,394,
Jacob's Ladder,Drama,8.176863,25,26,1,11/2/1990,113,7.3,376,
Black Book,Drama,7.440511,21,26,5,9/1/2006,145,7.2,288,
The Light Between Oceans,Drama,8.483245,20,26,6,9/2/2016,133,6.9,403,
From Dusk Till Dawn,Horror,15.339153,19,26,7,1/19/1996,108,6.9,1644,From Dusk Till Dawn Collection
RockNRolla,Action,7.263988,18,26,8,9/4/2008,114,6.9,851,
Rust and Bone,Drama,8.400049,15,26,11,5/17/2012,123,7.1,438,
Houseguest,Comedy,2.688562,11,26,15,1/6/1995,113,6,17,
The Last Dragon,Action,6.830599,10,26,16,3/22/1985,108,6.4,71,
Can't Hardly Wait,Comedy,6.426937,10,26,16,6/12/1998,100,6.1,122,
Saving Grace,Crime,5.13955,10,26,16,1/24/2000,93,6.3,115,
Billy Madison,Comedy,6.638116,10,26,16,2/10/1995,89,6.2,464,
That Awkward Moment,Comedy,8.060403,8,26,18,1/29/2014,94,6.1,1020,
An Education,Drama,8.593196,8,26,18,10/29/2009,100,6.9,423,
Candyman,Drama,12.721362,6,26,20,10/16/1992,99,6.2,303,Candyman Collection
The Gauntlet,Drama,6.389326,6,26,20,12/21/1977,109,6.6,121,
The Elephant Man,Drama,8.405672,5,26,21,10/2/1980,124,7.9,740,
Apollo 18,Horror,10.711742,5,26,21,7/20/2011,86,5,359,
Look Who's Back,Comedy,6.704659,3,26,23,10/8/2015,116,6.8,462,
Private Lessons,Romance,8.173864,3,26,23,8/21/1981,87,6.3,23,
House Party,Comedy,2.291511,3,26,23,3/9/1990,100,6.1,52,House Party Collection
Halloween II,Horror,13.501144,3,26,23,10/30/1981,92,6.4,370,Halloween Collection
A Nightmare on Elm Street,Horror,13.694713,2,26,24,11/14/1984,91,7.2,1212,A Nightmare on Elm Street Collection
The Last Legion,Action,8.920545,67,25,-42,4/19/2007,102,5,210,
Wyatt Earp,Drama,9.277147,63,25,-38,6/24/1994,191,6.5,203,
Free State of Jones,War,10.223582,50,25,-25,6/24/2016,139,6.6,439,
Twisted,Action,5.376246,50,25,-25,2/27/2004,97,5.3,127,
Big Miracle,Adventure,6.159379,40,25,-15,2/2/2012,107,6.6,153,
Midnight in the Garden of Good and Evil,Crime,5.145907,35,25,-10,11/21/1997,155,6.3,161,
North Country,Drama,8.781298,35,25,-10,2/12/2005,126,6.9,127,
Grimsby,Action,13.912531,35,25,-10,2/24/2016,83,5.7,794,
Mimic,Fantasy,9.128905,30,25,-5,8/22/1997,105,5.7,255,Mimic Collection
Dark Water,Drama,6.53565,30,25,-5,6/27/2005,105,5.3,275,
Rendition,Drama,13.482558,28,25,-3,9/7/2007,120,6.2,207,
Kingpin,Comedy,11.633347,27,25,-2,7/4/1996,113,6.7,248,
The 33,Drama,8.383246,25,25,0,8/6/2015,120,6,386,
Death Proof,Action,13.412137,25,25,0,5/21/2007,113,6.7,1359,Grindhouse Collection
Kidnap,Drama,20.214579,21,25,4,8/4/2017,95,6,244,
Catch-22,War,4.984905,18,25,7,6/24/1970,121,6.7,73,
Before the Devil Knows You're Dead,Crime,9.309967,18,25,7,9/26/2007,117,6.9,359,
And So It Goes,Comedy,7.69684,18,25,7,7/20/2014,94,5.7,166,
Cocoon: The Return,Comedy,12.167265,18,25,7,9/13/1988,116,5.4,103,Cocoon Collection
Pure Luck,Comedy,2.07443,17,25,8,8/9/1991,96,5.5,32,
Fright Night,Horror,9.665251,17,25,8,8/18/2011,106,6,617,Fright Night (Reboot) Collection
The Craft,Drama,12.860385,15,25,10,5/3/1996,101,6.3,388,
Singh Is Kinng,Action,1.369086,14,25,11,1/1/2008,135,5.3,22,
Sparkle,Drama,2.24386,14,25,11,8/17/2012,116,5.8,36,
All About the Benjamins,Action,3.909079,14,25,11,3/8/2002,95,5.9,52,
The Great Race,Adventure,4.473327,12,25,13,7/1/1965,160,7.2,64,
Seed of Chucky,Drama,15.216315,12,25,13,11/11/2004,87,4.9,302,"name': ""Child's Play Collection"", "
The Beguiled,Drama,36.26051,11,25,14,6/23/2017,93,5.8,279,
Don't Tell Mom the Babysitter's Dead,Comedy,5.402262,10,25,15,6/7/1991,105,5.8,108,
The Hitcher,Action,7.160967,10,25,15,1/19/2007,84,5.6,253,
Sicko,Documentary,6.766086,9,25,16,5/18/2007,123,7.3,241,
Logan's Run,Adventure,6.842274,9,25,16,6/23/1976,119,6.6,272,
Fright Night,Horror,7.472509,9,25,16,8/2/1985,106,6.9,279,Fright Night Collection
Desperado,Thriller,6.950458,7,25,18,8/25/1995,104,6.8,898,Mexico Trilogy
Thank You for Smoking,Comedy,9.369527,7,25,18,9/5/2005,92,7.1,670,
The Wood,Comedy,4.414077,6,25,19,7/16/1999,106,7.1,34,
Race,Action,7.979302,5,25,20,2/19/2016,134,7,492,
Stay Hungry,Comedy,2.44274,5,25,20,4/23/1976,102,5.8,15,
Bhaag Milkha Bhaag,History,4.342418,5,25,20,7/12/2013,186,7.3,62,
Battle Royale,Drama,12.701098,5,25,20,12/16/2000,114,7.3,992,Battle Royale Collection
A Lonely Place to Die,Adventure,6.780752,4,25,21,4/9/2011,99,6.2,160,
Dark Skies,Science Fiction,26.972326,4,25,21,2/21/2013,97,6.1,668,
Singham,Drama,2.07741,3,25,22,7/22/2011,143,7,33,Singham Collection
The Apartment,Comedy,11.994281,3,25,22,6/15/1960,125,8.1,498,
Some Like It Hot,Comedy,11.845107,3,25,22,3/18/1959,122,8,835,
Mad Max 2: The Road Warrior,Adventure,11.189831,2,25,23,12/24/1981,95,7.3,981,Mad Max Collection
Santa Claus: The Movie,Family,11.690532,50,24,-26,10/29/1985,108,6.1,58,
The Tale of the Princess Kaguya,Animation,7.566053,49,24,-25,11/23/2013,137,8,350,
Silence,Drama,14.16938,46,24,-22,12/22/2016,161,7,754,
The Rum Diary,Drama,10.110504,45,24,-21,10/13/2011,120,5.6,391,
Lord of War,Crime,8.745216,42,24,-18,9/16/2005,122,7,1356,
Renaissance Man,Comedy,4.985157,40,24,-16,6/3/1994,128,5.9,83,
Stormbreaker,Adventure,8.778999,40,24,-16,7/21/2006,93,5.1,219,
Oscar,Action,6.137796,35,24,-11,4/26/1991,109,6.2,128,
Wanderlust,Comedy,9.295078,35,24,-11,2/23/2012,98,5.3,402,
Hearts in Atlantis,Drama,6.425321,31,24,-7,9/7/2001,101,6.5,132,
The Glass House,Drama,6.418936,30,24,-6,9/14/2001,106,5.4,203,
Virtuosity,Action,5.188399,30,24,-6,8/4/1995,106,5.4,163,
The Founder,Drama,17.523343,25,24,-1,11/24/2016,115,7,855,
The Next Best Thing,Comedy,2.971999,25,24,-1,3/3/2000,108,4.3,29,
The Losers,Action,12.798367,25,24,-1,4/23/2010,97,6.2,522,
Biker Boyz,Action,11.269558,24,24,0,1/31/2003,110,5,63,
Traitor,Drama,7.859606,22,24,2,8/23/2008,114,6.6,210,
Fair Game,Drama,6.303785,22,24,2,5/20/2010,108,6.5,239,
Underdogs,Animation,14.347931,22,24,2,7/18/2013,106,6,127,
